0.000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000
0.023|0.0030|0.0030|0.0038|0.0038|0.0045|0.0045|0.0045|0.0045|0.0068|0.0068|0.0090|0.0090|0.0123|0.0123|0.0156|0.0156|0.0126|0.0126|0.0296|0.0296|0.0435|0.0435|0.0560|0.0560|0.0741|0.0741|0.0621|0.0621|0.1623|0.1623|0.1189|0.1189|0.0397|0.0397|0.0486|0.0486|0.0328|0.0328|0.0208|0.0208|0.0364|0.0364|0.0328|0.0328|0.0369|0.0369|0.0265|0.0265|0.0147|0.0147|0.0084|0.0084|0.0112|0.0112|0.0069|0.0069|0.0019|0.0019|0.0017|0.0017
0.046|21.8036|21.8036|22.8218|22.8218|23.8399|23.8399|23.8399|23.8399|40.1553|40.1553|56.4706|56.4706|85.7682|85.7682|115.0657|115.0657|95.3090|95.3090|57.0872|57.0872|26.3952|26.3952|10.5456|10.5456|12.5339|12.5339|7.3010|7.3010|5.3320|5.3320|5.6696|5.6696|6.6947|6.6947|6.7719|6.7719|6.3656|6.3656|4.3913|4.3913|5.8815|5.8815|6.9642|6.9642|4.1795|4.1795|3.1789|3.1789|1.5171|1.5171|1.1075|1.1075|1.3939|1.3939|0.9056|0.9056|0.4518|0.4518|0.2846|0.2846
0.070|13.4106|13.4106|22.3208|22.3208|31.2309|31.2309|31.2309|31.2309|72.9136|72.9136|114.5963|114.5963|80.7454|80.7454|46.8946|46.8946|42.1916|42.1916|31.0402|31.0402|21.2521|21.2521|15.3504|15.3504|10.1456|10.1456|10.2963|10.2963|7.6016|7.6016|4.9108|4.9108|2.9370|2.9370|2.4175|2.4175|2.4740|2.4740|1.9838|1.9838|1.8524|1.8524|1.5445|1.5445|3.6822|3.6822|2.2476|2.2476|1.4162|1.4162|1.3073|1.3073|1.3045|1.3045|0.7052|0.7052|0.2576|0.2576|0.2401|0.2401
0.093|0.3745|0.3745|51.5519|51.5519|102.7294|102.7294|102.7294|102.7294|121.2215|121.2215|139.7136|139.7136|82.0420|82.0420|24.3705|24.3705|28.9669|28.9669|27.3469|27.3469|17.6515|17.6515|12.2729|12.2729|11.0011|11.0011|11.8642|11.8642|8.9065|8.9065|6.5184|6.5184|4.2317|4.2317|3.8924|3.8924|3.3503|3.3503|3.2699|3.2699|2.2343|2.2343|1.8991|1.8991|4.0011|4.0011|3.3104|3.3104|2.0221|2.0221|2.0018|2.0018|1.5508|1.5508|0.8334|0.8334|0.3960|0.3960|0.3948|0.3948
0.116|41.3380|41.3380|89.2292|89.2292|137.1204|137.1204|137.1204|137.1204|110.4051|110.4051|83.6898|83.6898|53.0839|53.0839|22.4780|22.4780|18.5045|18.5045|12.8854|12.8854|9.7110|9.7110|7.3923|7.3923|4.5155|4.5155|4.3966|4.3966|3.8303|3.8303|3.2555|3.2555|2.3945|2.3945|1.7125|1.7125|1.7200|1.7200|1.5259|1.5259|1.3893|1.3893|2.1367|2.1367|2.6367|2.6367|2.7786|2.7786|2.5099|2.5099|1.8693|1.8693|1.7212|1.7212|0.7205|0.7205|0.3663|0.3663|0.3140|0.3140
0.139|24.0039|24.0039|77.8869|77.8869|131.7699|131.7699|131.7699|131.7699|103.0154|103.0154|74.2608|74.2608|44.9284|44.9284|15.5960|15.5960|11.9984|11.9984|7.6415|7.6415|6.5708|6.5708|5.3508|5.3508|4.0357|4.0357|3.5585|3.5585|2.9466|2.9466|2.0896|2.0896|1.9582|1.9582|1.5478|1.5478|1.4545|1.4545|1.5284|1.5284|1.7050|1.7050|2.2129|2.2129|2.5702|2.5702|1.9927|1.9927|2.8562|2.8562|1.8463|1.8463|1.4115|1.4115|0.5299|0.5299|0.1732|0.1732|0.1521|0.1521
0.163|5.1472|5.1472|45.8039|45.8039|86.4606|86.4606|86.4606|86.4606|80.3344|80.3344|74.2083|74.2083|45.9225|45.9225|17.6368|17.6368|12.9722|12.9722|7.6908|7.6908|5.8828|5.8828|4.5835|4.5835|4.3995|4.3995|3.0419|3.0419|2.5818|2.5818|2.4261|2.4261|1.8615|1.8615|1.0350|1.0350|1.0238|1.0238|1.2239|1.2239|1.8598|1.8598|2.2047|2.2047|2.1421|2.1421|1.8287|1.8287|3.5427|3.5427|2.5994|2.5994|1.5210|1.5210|0.5871|0.5871|0.2146|0.2146|0.1686|0.1686
0.186|6.5009|6.5009|25.8934|25.8934|45.2860|45.2860|45.2860|45.2860|32.1341|32.1341|18.9823|18.9823|10.8834|10.8834|2.7846|2.7846|3.0800|3.0800|2.5437|2.5437|1.6835|1.6835|1.6468|1.6468|1.1082|1.1082|1.5400|1.5400|1.5388|1.5388|0.8598|0.8598|0.7820|0.7820|0.9021|0.9021|0.8813|0.8813|0.7872|0.7872|1.5059|1.5059|1.8095|1.8095|4.5214|4.5214|3.9613|3.9613|4.1114|4.1114|2.4627|2.4627|2.5183|2.5183|0.8018|0.8018|0.2427|0.2427|0.2127|0.2127
0.209|12.9892|12.9892|17.0205|17.0205|21.0519|21.0519|21.0519|21.0519|22.7489|22.7489|24.4460|24.4460|14.4448|14.4448|4.4435|4.4435|4.8723|4.8723|3.9402|3.9402|1.9815|1.9815|1.8144|1.8144|2.2990|2.2990|2.6157|2.6157|1.2066|1.2066|0.6124|0.6124|1.0839|1.0839|0.8918|0.8918|0.7094|0.7094|0.8352|0.8352|1.4036|1.4036|2.8804|2.8804|5.0191|5.0191|3.4921|3.4921|2.7874|2.7874|2.6609|2.6609|2.3189|2.3189|0.7550|0.7550|0.1943|0.1943|0.2277|0.2277
